URL,Perfume,Brand,Gender,Rating Value,Rating Count,Weighted Rating,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,scent_profile,cluster,cluster_name
https://www.fragrantica.com/perfume/oriflame/signature-for-her-parfum-70987.html,signature-for-her-parfum,oriflame,women,3.67,92,3.6603771405370638,"pink pepper, rhubarb, pink grapefruit","lavender, orris, tuberose, freesia","tonka bean, sandalwood, amber",lavender,aromatic,iris,powdery,soft spicy,"pink pepper, rhubarb, pink grapefruit lavender, orris, tuberose, freesia tonka bean, sandalwood, amber lavender aromatic iris powdery soft spicy",9,Fresh Lavender Aromatic
https://www.fragrantica.com/perfume/nafnaf/fashion-instinct-8268.html,fashion-instinct,nafnaf,women,3.67,81,3.660137114564065,"red berries, orange, granny smith apple","tincture of rose, jasmine, peach","praline, vanille, musk, virginia cedar",sweet,fruity,vanilla,fresh,powdery,"red berries, orange, granny smith apple tincture of rose, jasmine, peach praline, vanille, musk, virginia cedar sweet fruity vanilla fresh powdery",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/michael-kors/gorgeous-64629.html,gorgeous,michael-kors,women,3.67,791,3.666221083859907,"pink pepper, mandarin orange","tuberose, orange blossom, tobacco, jasmine sambac, ylang-ylang","guaiac wood, cedar, cashmeran, tonka bean, benzoin, suede, styrax",white floral,woody,sweet,tuberose,amber,"pink pepper, mandarin orange tuberose, orange blossom, tobacco, jasmine sambac, ylang-ylang guaiac wood, cedar, cashmeran, tonka bean, benzoin, suede, styrax white floral woody sweet tuberose amber",0,Floral Yellow White Flowers
https://www.fragrantica.com/perfume/krizia/time-uomo-1798.html,time-uomo,krizia,men,3.67,54,3.6594938829052,"violet leaf, bergamot","juniper berries, basil, leather","cedar, musk, amber",aromatic,fresh spicy,woody,ozonic,green,"violet leaf, bergamot juniper berries, basil, leather cedar, musk, amber aromatic fresh spicy woody ozonic green",5,Fresh Green Aromatic
https://www.fragrantica.com/perfume/fendi/l-acquarossa-eau-de-toilette-26071.html,l-acquarossa-eau-de-toilette,fendi,women,3.67,265,3.663040748036404,"blood orange, sicilian mandarin, sichuan pepper, calabrian bergamot","peony, lantana, violet","musk, red cedar",citrus,floral,fresh spicy,fresh,powdery,"blood orange, sicilian mandarin, sichuan pepper, calabrian bergamot peony, lantana, violet musk, red cedar citrus floral fresh spicy fresh powdery",1,Warm Spicy Woody
https://www.fragrantica.com/perfume/dzintars/kristine-1-12411.html,kristine-1,dzintars,women,3.67,100,3.66054449461468,"lemon, lily of the valley, white rose","jasmine, iris, kiwi","musk, amber",floral,fruity,musky,sweet,powdery,"lemon, lily of the valley, white rose jasmine, iris, kiwi musk, amber floral fruity musky sweet powdery",8,White Floral Citrus
https://www.fragrantica.com/perfume/coty/ex-cla-ma-tion-noir-14548.html,ex-cla-ma-tion-noir,coty,women,3.67,30,3.6588473526224434,"plum, violet, apricot, freesia","jasmine, lily-of-the-valley, iris, ylang-ylang","sandalwood, amber, vetiver, musk, oakmoss",woody,powdery,white floral,fruity,floral,"plum, violet, apricot, freesia jasmine, lily-of-the-valley, iris, ylang-ylang sandalwood, amber, vetiver, musk, oakmoss woody powdery white floral fruity floral",0,Floral Yellow White Flowers
https://www.fragrantica.com/perfume/coty/jungle-gardenia-15461.html,jungle-gardenia,coty,women,3.67,40,3.659126168806882,"banana, coconut, peach","gardenia, white flowers","musk, woody notes",white floral,fruity,sweet,lactonic,coconut,"banana, coconut, peach gardenia, white flowers musk, woody notes white floral fruity sweet lactonic coconut",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/carven/dans-ma-bulle-48698.html,dans-ma-bulle,carven,women,3.67,297,3.663379707036153,"litchi, peony, rose, mandarin orange, bergamot, lemon","sweet notes, heliotrope, peach, pear, jasmine sambac, green notes, lily-of-the-valley, candied almond","vanilla, patchouli, sandalwood, amberwood",fruity,sweet,vanilla,powdery,fresh,"litchi, peony, rose, mandarin orange, bergamot, lemon sweet notes, heliotrope, peach, pear, jasmine sambac, green notes, lily-of-the-valley, candied almond vanilla, patchouli, sandalwood, amberwood fruity sweet vanilla powdery fresh",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/banana-republic/alabaster-763.html,alabaster,banana-republic,women,3.67,530,3.6651128848570256,lotus,rose,musk,floral,musky,rose,aquatic,ozonic,lotus rose musk floral musky rose aquatic ozonic,6,Rose Fruity Floral
https://www.fragrantica.com/perfume/armand-basi/dont-look-back-83121.html,dont-look-back,armand-basi,unisex,3.67,46,3.6592868658195883,"lavender, mandarin orange, coriander leaf","gin, tobacco, vodka","vanilla, cedar, oakmoss",woody,aromatic,lavender,vanilla,herbal,"lavender, mandarin orange, coriander leaf gin, tobacco, vodka vanilla, cedar, oakmoss woody aromatic lavender vanilla herbal",9,Fresh Lavender Aromatic
https://www.fragrantica.com/perfume/antonio-banderas/her-secret-temptation-45152.html,her-secret-temptation,antonio-banderas,women,3.67,803,3.666260075256021,"pink pepper, neroli","iris, rose, jasmine","sugar cane, patchouli, amber, musk",sweet,patchouli,woody,powdery,rose,"pink pepper, neroli iris, rose, jasmine sugar cane, patchouli, amber, musk sweet patchouli woody powdery rose",6,Rose Fruity Floral
https://www.fragrantica.com/perfume/angel-schlesser/flor-de-naranjo-13028.html,flor-de-naranjo,angel-schlesser,women,3.67,88,3.660291222149002,"bergamot, galbanum, amalfi lemon, orange, mandarin orange","african orange flower, rose, lily-of-the-valley","virginia cedar, oak moss, musk, patchouli, vanille",citrus,white floral,woody,green,aromatic,"bergamot, galbanum, amalfi lemon, orange, mandarin orange african orange flower, rose, lily-of-the-valley virginia cedar, oak moss, musk, patchouli, vanille citrus white floral woody green aromatic",8,White Floral Citrus
https://www.fragrantica.com/perfume/angel-schlesser/deep-leather-62809.html,deep-leather,angel-schlesser,unisex,3.67,39,3.6590989160971246,bergamot,leather,vanilla,leather,citrus,animalic,vanilla,fresh spicy,bergamot leather vanilla leather citrus animalic vanilla fresh spicy,7,Dark Leather Tobacco
https://www.fragrantica.com/perfume/brocard/perpetuum-27444.html,perpetuum,brocard,women,3.67,81,3.660137114564065,"pear, watermelon, pineapple, mandarin orange","lily-of-the-valley, jasmine, heliotrope, violet leaf","musk, vanilla, amber",white floral,fresh,powdery,aquatic,vanilla,"pear, watermelon, pineapple, mandarin orange lily-of-the-valley, jasmine, heliotrope, violet leaf musk, vanilla, amber white floral fresh powdery aquatic vanilla",8,White Floral Citrus
https://www.fragrantica.com/perfume/brocard/once-upon-a-time-kingdom-52884.html,once-upon-a-time-kingdom,brocard,women,3.67,138,3.6612659990416723,"saffron, ginger, bergamot","tuberose, jasmine sambac, peony","musk, woody notes",warm spicy,tuberose,white floral,musky,metallic,"saffron, ginger, bergamot tuberose, jasmine sambac, peony musk, woody notes warm spicy tuberose white floral musky metallic",8,White Floral Citrus
https://www.fragrantica.com/perfume/faberlic/pour-toujours-17166.html,pour-toujours,faberlic,women,3.67,322,3.663622386396998,"green notes, bergamot, mandarin, lemon","jasmine, rose, lily-of-the-valley, iris, pineapple, pear","cedar, musk, amber",citrus,green,white floral,fruity,fresh,"green notes, bergamot, mandarin, lemon jasmine, rose, lily-of-the-valley, iris, pineapple, pear cedar, musk, amber citrus green white floral fruity fresh",5,Fresh Green Aromatic
